Region,Registration County,Class I: Agricultural,Class II: Mining,Class III: Manufacturing,Class IV: Trading,Class V: Commercial,Class VI: Menial,Class VII: Professional,Class VIII. Governmental,Unclassified
1,Northumberland,23.1,11.4,7.6,30.3,13.7,1.4,1.8,2.8,7.9
1,Durham,13.7,21.8,10.1,26.4,16.9,0.9,1.5,1.3,7.3
1,Cumberland,35.4,8.6,11.2,25.8,8.8,1.1,1.9,1.6,5.5
1,Westmorland,45.9,2.0,10.1,26.3,4.3,1.6,2.3,1.1,6.3
1,"York, N. Riding",48.2,3.2,3.5,28.3,7.0,1.8,2.2,1.4,4.4
1,"York, E. Riding",31.8,0.1,5.0,33.6,14.7,1.9,2.1,3.3,7.4
1,"York, W. Riding",15.8,5.2,36.6,26.8,6.2,1.0,1.4,1.2,5.7
1,Lancaster,10.7,4.2,30.5,27.1,13.1,1.1,1.5,2.3,9.4
1,Chester,25.4,3.1,19.4,27.0,10.3,1.3,1.7,2.0,9.8
2,Derby,24.2,10.4,20.2,26.5,5.8,1.4,1.5,1.2,8.8
2,Nottingham,27.6,3.6,24.8,26.8,6.2,1.7,1.6,1.6,6.1
2,Leicester,30.0,2.3,24.7,26.2,5.5,2.0,1.8,1.5,5.8
2,Stafford,17.3,14.0,24.1,25.5,5.9,1.4,1.4,1.3,9.0
2,Warwick,19.2,0.9,24.8,32.6,8.0,2.5,1.8,1.9,8.2
2,Worcester,26.4,3.1,20.8,27.0,6.6,2.8,1.8,1.8,9.7
3,Salop,42.5,7.3,4.9,25.7,5.4,2.6,2.1,1.6,8.0
3,Hereford,54.2,0.9,1.4,26.3,4.0,2.6,1.9,1.6,7.0
3,N. Wales,43.1,12.6,4.7,21.9,6.3,1.3,1.7,1.0,7.4
3,S. Wales,31.3,13.9,8.0,23.0,7.4,1.1,1.7,2.3,11.3
3,Monmouth,20.7,21.4,12.9,22.3,6.5,1.3,1.5,1.6,11.7
4,Gloucester,27.0,1.9,7.2,33.3,10.1,2.7,2.4,2.8,12.5
4,Wilts,47.8,0.4,6.3,25.5,4.6,2.3,1.8,2.3,8.9
4,Somerset,37.1,3.6,4.8,31.3,6.1,2.6,2.3,2.3,9.9
5,Lincoln,50.8,0.1,1.6,26.2,8.4,2.0,1.9,1.3,7.5
5,Rutland,50.1,0.2,0.7,25.6,6.6,3.8,2.4,1.1,9.4
5,Northampton,42.1,0.1,2.5,35.1,6.1,1.9,1.9,2.7,7.5
5,Norfolk,44.6,0.1,4.1,30.2,7.8,2.0,1.9,2.3,7.0
5,Suffolk,51.1,0.1,2.5,27.3,6.4,2.1,1.9,2.2,6.3
5,Essex,48.6,0.0,2.5,25.3,7.3,2.4,1.9,2.2,9.8
5,Cambridge,49.9,0.0,1.3,25.8,6.2,2.2,2.2,1.6,10.9
5,Huntingdon,53.9,0.0,1.1,27.2,6.4,1.7,1.9,1.4,6.3
6,Bedford,51.2,0.0,1.1,29.4,5.0,1.9,1.7,1.3,8.3
6,Hertford,47.4,0.0,2.0,27.7,6.8,2.8,1.9,1.5,9.8
6,Middlesex,28.5,0.0,2.6,33.3,9.3,4.6,2.9,4.0,14.7
6,Bucks,48.3,0.0,2.1,29.3,5.0,2.5,2.0,1.4,9.4
6,Oxford,45.4,0.1,3.3,28.1,6.2,3.6,2.5,1.3,9.5
6,Berks,44.2,0.0,1.8,28.5,6.3,3.4,2.2,3.9,9.6
6,Surrey,39.2,0.2,2.3,29.5,7.3,4.9,2.6,3.4,10.7
6,London,2.3,0.0,10.6,43.9,17.0,4.6,3.3,7.1,11.2
7,Kent,36.0,0.3,2.2,27.3,9.9,2.6,2.0,10.3,9.4
7,Sussex,41.7,0.1,1.4,30.8,9.2,3.5,2.4,3.1,7.9
7,Hants,31.9,0.1,2.0,27.9,9.7,2.8,2.0,13.7,10.0
7,Dorset,42.9,1.3,1.9,29.1,7.8,2.6,2.0,3.1,9.4
7,Devon,37.5,1.9,3.0,30.3,7.9,2.0,2.2,7.4,7.8
7,Cornwall,32.7,24.8,2.2,23.5,7.3,1.0,1.5,2.7,4.3